file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv147	2	76	0	0	20	274	219	0	0	0	0	5	116	1	34	136	1	36	0	0	270	0	2	1016	0	103	0	0	0	0	20	0
asv148	2	393	1	0	0	434	250	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	1	1192	0	0	0	0	0	3	0	0
asv149	0	44	0	0	20	11	587	0	15	3	0	0	0	22	33	0	6	0	0	0	151	0	0	1293	0	47	0	0	0	0	22	0
asv150	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2251	0	0	0	0	0	0	0	0	0
asv151	0	302	28	0	6	531	299	0	1	7	0	0	25	9	41	15	3	55	0	0	250	0	0	489	0	128	0	1	0	0	42	0
asv152	0	44	0	0	8	32	1237	0	16	8	0	0	0	56	63	0	38	0	0	0	248	0	0	354	0	74	0	0	0	0	32	0
asv153	114	19	13	0	258	6	304	0	82	127	123	75	9	457	5	37	144	64	39	0	52	27	0	1	0	14	0	187	0	0	19	0
asv154	190	5	68	0	80	2	131	0	84	180	125	44	21	607	3	13	166	23	18	0	33	13	0	0	0	10	0	303	0	0	22	0
asv155	3	119	7	0	42	38	1334	0	15	10	15	0	0	149	33	0	12	26	5	0	145	0	0	69	0	80	0	12	0	0	16	0
asv156	0	519	0	0	3	141	131	0	4	0	0	0	5	35	71	0	23	0	0	0	189	0	0	155	0	802	0	0	0	0	16	0
asv157	0	762	0	0	0	217	72	0	0	0	0	1	0	1	66	0	0	0	0	0	267	0	0	158	0	506	0	0	0	0	0	0
